run_segment_id,run_segment_name,ride_segment_id,ride_segment_name,coverage_ratio,points_on_road,total_run_points,tolerance_meters,is_match
25759381,Descente chemin ceinture RN2 baril ,30508975,Unknown,1.0,988,988,50,True
23778595,Montée 2/3 Bellemène > BDN,26209084,Unknown,1.0,11,11,50,True
20346982,sprint srpp,12477514,Unknown,1.0,116,116,50,True
24555115,Faux plat cornu,5499041,Unknown,1.0,320,320,50,True
22746705,Bois Rouge - Beauséjour,7076889,Unknown,1.0,471,471,50,True
13693488,Tour à la mode ouest Trail,18533340,Unknown,1.0,321,321,50,True
20324132,front mer RDR1,22597540,Unknown,1.0,806,806,50,True
34018623,Ravine des chèvres les hauts-bagatelle,11748450,Unknown,1.0,849,849,50,True
16862719,La Croix à La Croix,26790127,Unknown,1.0,348,348,50,True
27216327,Jamaique - Rd Point La Mare,40572679,Unknown,1.0,1283,1283,50,True
36171071,De Rosette au dernier virage en haut ,9617370,Unknown,1.0,451,451,50,True
36485115,Rosette à KarOuest Citerne,9617370,Unknown,1.0,213,213,50,True
17421374,A very slow Jesse Owens,20300854,Unknown,1.0,69,69,50,True
6599448,Rue Maxime Payet Climb,19060674,Unknown,1.0,219,219,50,True
35017504,section chemin neuf vers nord,6405400,Unknown,1.0,78,78,50,True
25725577,Croisé en bas 2ème kiosque chemin 4x4 sentier mare-longue parking Guimard ,29861872,Unknown,1.0,2509,2509,50,True
26620114,Sommet chemin de la rivière à bas chemin fruits à pain,19751717,Unknown,1.0,166,166,50,True
26957414,faux plat boutik cadet,8619783,Unknown,1.0,32,32,50,True
34803681,private2,21027353,Unknown,1.0,382,382,50,True
25558692,400 m plat et droit à 2330 m d'altitude bis,2279296,Unknown,1.0,95,95,50,True
36074340,Montée Rue de la Fontaine,34200475,Unknown,1.0,357,357,50,True
27876550,Rout-pied piton l'entonnoir,17267778,Unknown,1.0,662,662,50,True
30774956,Manapany-les-Hauts -> Charrié,25914884,Unknown,1.0,235,235,50,True
15284820,haut CD29,22450477,Unknown,1.0,39,39,50,True
36598835,DH allee des cedres,22353262,Unknown,1.0,87,87,50,True
15749971,De rd-point à rd-point - Le Port,21789695,Unknown,1.0,959,959,50,True
23435750,faux plat Prévert,14484376,Unknown,1.0,498,498,50,True
20275082,pont cimetière/robinet,5188064,Unknown,1.0,349,349,50,True
9647767,Montagne,26790127,Unknown,1.0,114,114,50,True
6994322,Uphill from Le Golf.,34424313,Unknown,1.0,463,463,50,True
34258101,2AP,19078915,Unknown,1.0,2213,2213,50,True
14053325,station tamoil / parking Jamaïque ,40572679,Unknown,1.0,140,140,50,True
28154594,Ruisseau Emmanuel,19855308,Unknown,1.0,146,146,50,True
33791959,Pont RSE -> st louis,23364395,Unknown,1.0,163,163,50,True
11090021,Montée La Mare,3677607,Unknown,1.0,238,238,50,True
11167397,Montée Duparc,14216212,Unknown,1.0,450,450,50,True
13181922,montée la jamaique,40572679,Unknown,1.0,364,364,50,True
20275089,kiosque/robinet,5188064,Unknown,1.0,186,186,50,True
21149863,Sortie de Jean Petit,27280086,Unknown,1.0,579,579,50,True
12747655,Pont St Leu --> Début TEMOR,13202008,Unknown,1.0,45,45,50,True
7210015,Intervall. kort,34424313,Unknown,1.0,66,66,50,True
23497135,Hermann-De Gaulle-N3,23484761,Unknown,1.0,88,88,50,True
15611330,200 derniers mettre chemin bassin plat,17140935,Unknown,1.0,88,88,50,True
25871816,10 km Cambaie,18533340,Unknown,1.0,2827,2827,50,True
27904814,Rue General Bonnier,16576319,Unknown,1.0,149,149,50,True
20347026,traversée base navale,20300682,Unknown,1.0,365,365,50,True
28322239,Sortie St Leu --> Pointe au Sel,27179013,Unknown,1.0,376,376,50,True
23609050,COTE BCLT,16684460,Unknown,1.0,68,68,50,True
30983114,3.2 KM STOP  NEZ DE BOEUF ,12005514,Unknown,1.0,1206,1206,50,True
38299258,Belvédère Nez de boeuf 》croisée route Piton Guichard,12005514,Unknown,1.0,676,676,50,True
23018983,barrière - bassin ....chemin volcan,12005514,Unknown,1.0,472,472,50,True
38474068,Grande Savanne Ligne droite ,13466645,Unknown,1.0,128,128,50,True
24539301,TPC - 400 Côte ,17803523,Unknown,1.0,84,84,50,True
