segment_id,technicality
12403315,2
8506922,1
19455779,1
16141737,1
24095809,1
25288618,4
18788047,3
8151165,1
5942362,1
11202685,1
17087706,1
18036527,1
12928902,1
16903143,1
5103103,1
10729105,1
13728085,1
6405426,1
17258588,1
9827970,1
19358372,1
15437615,1
17073484,1
9648074,1
16876091,1
13531564,1
3896321,1
22847565,1
21030026,1
22708090,1
20791099,1
33053358,1
14031806,1
23331458,1
18850640,1
26052767,1
9083622,1
27179013,1
12389853,1
20467002,1
21898469,1
14062595,1
11976560,1
23191408,3
31739890,1
2509749,3
30176974,2
5501810,4
27027947,5
26796802,1
19677183,4
25714566,2
33583060,2
20201996,3
20219030,3
20211607,3
20211643,3
24024860,4
17139052,2
19068705,2
2157921,2
20704030,1
23795191,1
19298945,1
27184201,1
5557437,1
6050801,1
27076538,1
23316725,2
19470910,2
25797372,1
6188592,2
28627613,1
23369653,1
19642287,1
20110631,1
17189360,1
20346972,1
23447234,2
22838902,1
23625778,1
32990464,1
22028755,1
27902889,1
10478875,1
4591562,1
28299879,1
25946069,1
27291906,1
26879435,1
37302741,1
16457376,1
28272061,1
32488322,2
34244817,1
29352796,1
23118247,1
40213447,1
17845737,1
12658866,1
34486433,1
18482306,1
14107174,1
20370145,1
36797612,1
23355198,1
20865676,1
33789239,1
40218857,1
12600393,1
5492698,3
11638288,3
28213586,3
11172628,2
38420163,2
